Tempo (s);Carga (g);Posicao (mm)
4,521;224,7;28,2
4,536;220,4;28,3
4,536;220,4;28,3
4,536;220,4;28,3
4,549;216;28,4
4,549;216;28,4
4,549;216;28,4
4,563;211,7;28,4
4,563;211,7;28,4
4,563;211,7;28,4
4,578;207,5;28,5
4,578;207,5;28,5
4,578;207,5;28,5
4,592;203,2;28,6
4,592;203,2;28,6
4,592;203,2;28,6
4,605;199;28,7
4,605;199;28,7
4,605;199;28,7
4,619;194,8;28,7
4,619;194,8;28,7
4,619;194,8;28,7
4,634;190,6;28,8
4,634;190,6;28,8
4,634;190,6;28,8
4,648;186,4;28,9
4,648;186,4;28,9
4,648;186,4;28,9
4,661;182,3;28,9
4,661;182,3;28,9
4,661;182,3;28,9
4,676;178,1;29
4,676;178,1;29
4,676;178,1;29
4,69;174;29,1
4,69;174;29,1
4,69;174;29,1
4,703;169,8;29,1
4,703;169,8;29,1
4,703;169,8;29,1
4,718;165,8;29,2
4,718;165,8;29,2
4,718;165,8;29,2
4,732;161,7;29,3
4,732;161,7;29,3
4,732;161,7;29,3
4,746;157,6;29,3
4,746;157,6;29,3
4,746;157,6;29,3
4,76;153,5;29,4
4,76;153,5;29,4
4,76;153,5;29,4
4,774;149,5;29,5
4,774;149,5;29,5
4,774;149,5;29,5
4,788;145,4;29,6
4,788;145,4;29,6
4,788;145,4;29,6
4,803;141,3;29,6
4,803;141,3;29,6
4,803;141,3;29,6
4,816;137,1;29,7
4,816;137,1;29,7
4,816;137,1;29,7
4,83;132,8;29,8
4,83;132,8;29,8
4,83;132,8;29,8
4,845;128,5;29,8
4,845;128,5;29,8
4,845;128,5;29,8
4,858;123,9;29,9
4,858;123,9;29,9
4,858;123,9;29,9
4,872;119,2;30
4,872;119,2;30
4,872;119,2;30
4,887;114,3;30
4,887;114,3;30
4,887;114,3;30
4,901;109,2;30,1
4,901;109,2;30,1
4,901;109,2;30,1
4,914;104;30,2
4,914;104;30,2
4,914;104;30,2
4,929;98,5;30,2
4,929;98,5;30,2
4,929;98,5;30,2
4,943;92,9;30,3
4,943;92,9;30,3
4,943;92,9;30,3
4,956;87,1;30,4
4,956;87,1;30,4
4,956;87,1;30,4
4,971;81,1;30,4
4,971;81,1;30,4
4,971;81,1;30,4
4,985;75;30,5
4,985;75;30,5
4,985;75;30,5
4,999;68,7;30,6
4,999;68,7;30,6
4,999;68,7;30,6
5,013;62,4;30,6
5,013;62,4;30,6
5,013;62,4;30,6
5,027;56,2;30,7
5,027;56,2;30,7
5,027;56,2;30,7
5,041;50,2;30,8
5,041;50,2;30,8
5,041;50,2;30,8
5,055;44,2;30,8
5,055;44,2;30,8
5,055;44,2;30,8
5,069;38,5;30,9
5,069;38,5;30,9
5,069;38,5;30,9
5,084;33,1;31
5,084;33,1;31
5,084;33,1;31
5,099;28;31
5,099;28;31
5,099;28;31
5,112;23,6;31
5,112;23,6;31
5,112;23,6;31
5,125;19,6;31
5,125;19,6;31
5,125;19,6;31
5,139;16,1;31
5,139;16,1;31
5,139;16,1;31
5,152;12,9;31
5,152;12,9;31
5,152;12,9;31
5,165;10,1;31
5,165;10,1;31
5,165;10,1;31
5,179;7,9;31
5,179;7,9;31
5,179;7,9;31
5,192;6,1;31
5,192;6,1;31
5,192;6,1;31
5,205;4,6;31
5,205;4,6;31
5,205;4,6;31
5,219;3,4;31
5,219;3,4;31
5,219;3,4;31
5,232;2,4;31
5,232;2,4;31
5,232;2,4;31
5,245;1,7;31
5,245;1,7;31
5,245;1,7;31
5,258;1,3;31
5,258;1,3;31
5,258;1,3;31
5,272;1;31
5,272;1;31
5,272;1;31
5,285;0,8;31
5,285;0,8;31
5,285;0,8;31
5,298;0,7;31
5,298;0,7;31
5,298;0,7;31
5,312;0,7;31
5,312;0,7;31
5,312;0,7;31
5,325;0,6;31
5,325;0,6;31
5,325;0,6;31
5,338;0,4;31
5,338;0,4;31
5,338;0,4;31
5,352;0,3;31
5,352;0,3;31
5,352;0,3;31
5,365;0,2;31
5,365;0,2;31
5,365;0,2;31
5,378;0,1;31
5,378;0,1;31
5,378;0,1;31
5,392;0;31
5,392;0;31
5,392;0;31
5,405;-0,1;31
5,405;-0,1;31
5,405;-0,1;31
5,418;-0,2;31
5,418;-0,2;31
5,418;-0,2;31
5,432;-0,2;31
5,432;-0,2;31
5,432;-0,2;31
5,445;-0,1;31
5,445;-0,1;31
5,445;-0,1;31
5,458;-0,1;31
5,458;-0,1;31
5,458;-0,1;31
5,471;0;31
5,471;0;31
5,471;0;31
5,485;0;31
5,485;0;31
5,485;0;31
5,497;0;31
5,497;0;31
5,497;0;31
5,51;0;31
5,51;0;31
5,51;0;31
5,524;0,1;31
5,524;0,1;31
5,524;0,1;31
5,537;0,1;31
5,537;0,1;31
5,537;0,1;31
5,55;0,1;31
5,55;0,1;31
5,55;0,1;31
5,564;0,1;31
5,564;0,1;31
5,564;0,1;31
5,577;0,1;31
5,577;0,1;31
5,577;0,1;31
5,59;0,1;31
5,59;0,1;31
