Tempo (s);Carga (g);Posicao (mm)
2,334;287,3;16,6
2,334;287,3;16,6
2,347;276,9;16,7
2,347;276,9;16,7
2,347;276,9;16,7
2,361;267;16,7
2,361;267;16,7
2,361;267;16,7
2,374;257,6;16,8
2,374;257,6;16,8
2,374;257,6;16,8
2,387;248,5;16,9
2,387;248,5;16,9
2,387;248,5;16,9
2,4;239,7;16,9
2,4;239,7;16,9
2,4;239,7;16,9
2,414;231,3;17
2,414;231,3;17
2,414;231,3;17
2,426;223,2;17
2,426;223,2;17
2,426;223,2;17
2,439;215,4;17,1
2,439;215,4;17,1
2,439;215,4;17,1
2,453;208;17,2
2,453;208;17,2
2,453;208;17,2
2,466;200,9;17,2
2,466;200,9;17,2
2,466;200,9;17,2
2,479;194,1;17,3
2,479;194,1;17,3
2,479;194,1;17,3
2,493;187,5;17,4
2,493;187,5;17,4
2,493;187,5;17,4
2,506;181,1;17,4
2,506;181,1;17,4
2,506;181,1;17,4
2,519;174,9;17,5
2,519;174,9;17,5
2,519;174,9;17,5
2,533;169;17,6
2,533;169;17,6
2,533;169;17,6
2,546;163,2;17,6
2,546;163,2;17,6
2,546;163,2;17,6
2,558;157,6;17,7
2,558;157,6;17,7
2,558;157,6;17,7
2,571;152,2;17,8
2,571;152,2;17,8
2,571;152,2;17,8
2,585;147;17,8
2,585;147;17,8
2,585;147;17,8
2,598;141,9;17,9
2,598;141,9;17,9
2,598;141,9;17,9
2,611;137,1;18
2,611;137,1;18
2,611;137,1;18
2,625;132,4;18
2,625;132,4;18
2,625;132,4;18
2,638;127,8;18,1
2,638;127,8;18,1
2,638;127,8;18,1
2,651;123,3;18,2
2,651;123,3;18,2
2,651;123,3;18,2
2,665;119;18,2
2,665;119;18,2
2,665;119;18,2
2,678;114,8;18,3
2,678;114,8;18,3
2,678;114,8;18,3
2,69;110,8;18,3
2,69;110,8;18,3
2,69;110,8;18,3
2,704;106,8;18,4
2,704;106,8;18,4
2,704;106,8;18,4
2,717;102,9;18,5
2,717;102,9;18,5
2,717;102,9;18,5
2,73;99,2;18,5
2,73;99,2;18,5
2,73;99,2;18,5
2,744;95,6;18,6
2,744;95,6;18,6
2,744;95,6;18,6
2,757;92;18,7
2,757;92;18,7
2,757;92;18,7
2,769;88,6;18,7
2,769;88,6;18,7
2,769;88,6;18,7
2,783;85,3;18,8
2,783;85,3;18,8
2,783;85,3;18,8
2,797;82,1;18,9
2,797;82,1;18,9
2,797;82,1;18,9
2,81;79;18,9
2,81;79;18,9
2,81;79;18,9
2,822;75,9;19
2,822;75,9;19
2,822;75,9;19
2,836;72,9;19,1
2,836;72,9;19,1
2,836;72,9;19,1
2,849;70,1;19,1
2,849;70,1;19,1
2,849;70,1;19,1
2,862;67,3;19,2
2,862;67,3;19,2
2,862;67,3;19,2
2,876;64,5;19,3
2,876;64,5;19,3
2,876;64,5;19,3
2,888;61,8;19,3
2,888;61,8;19,3
2,888;61,8;19,3
2,901;59,2;19,4
2,901;59,2;19,4
2,901;59,2;19,4
2,915;56,7;19,4
2,915;56,7;19,4
2,915;56,7;19,4
2,929;54,2;19,5
2,929;54,2;19,5
2,929;54,2;19,5
2,941;51,8;19,6
2,941;51,8;19,6
2,941;51,8;19,6
2,954;49,5;19,6
2,954;49,5;19,6
2,954;49,5;19,6
2,968;47,2;19,7
2,968;47,2;19,7
2,968;47,2;19,7
2,981;45;19,8
2,981;45;19,8
2,981;45;19,8
2,994;42,8;19,8
2,994;42,8;19,8
2,994;42,8;19,8
3,008;40,7;19,9
3,008;40,7;19,9
3,008;40,7;19,9
3,02;38,7;20
3,02;38,7;20
3,02;38,7;20
3,033;36,7;20
3,033;36,7;20
3,033;36,7;20
3,047;34,8;20,1
3,047;34,8;20,1
3,047;34,8;20,1
3,06;32,9;20,2
3,06;32,9;20,2
3,06;32,9;20,2
3,073;31,1;20,2
3,073;31,1;20,2
3,073;31,1;20,2
3,087;29,4;20,3
3,087;29,4;20,3
3,087;29,4;20,3
3,1;27,7;20,4
3,1;27,7;20,4
3,1;27,7;20,4
3,113;26,1;20,4
3,113;26,1;20,4
3,113;26,1;20,4
3,126;24,5;20,5
3,126;24,5;20,5
3,126;24,5;20,5
3,139;23;20,6
3,139;23;20,6
3,139;23;20,6
3,152;21,5;20,6
3,152;21,5;20,6
3,152;21,5;20,6
3,165;20,1;20,7
3,165;20,1;20,7
3,165;20,1;20,7
3,179;18,7;20,8
3,179;18,7;20,8
3,179;18,7;20,8
3,192;17,4;20,8
3,192;17,4;20,8
3,192;17,4;20,8
3,204;16,2;20,9
3,204;16,2;20,9
3,204;16,2;20,9
3,219;15;21
3,219;15;21
3,219;15;21
3,232;13,9;21
3,232;13,9;21
3,232;13,9;21
3,245;12,8;21,1
3,245;12,8;21,1
3,245;12,8;21,1
3,258;11,8;21,2
3,258;11,8;21,2
3,258;11,8;21,2
3,271;10,8;21,2
3,271;10,8;21,2
3,271;10,8;21,2
3,284;9,9;21,3
3,284;9,9;21,3
3,284;9,9;21,3
3,298;9,1;21,3
3,298;9,1;21,3
3,298;9,1;21,3
3,31;8,3;21,4
3,31;8,3;21,4
3,31;8,3;21,4
3,323;7,5;21,5
3,323;7,5;21,5
3,323;7,5;21,5
3,336;6,8;21,5
3,336;6,8;21,5
3,336;6,8;21,5
3,349;6,2;21,6
3,349;6,2;21,6
3,349;6,2;21,6
3,363;5,6;21,7
3,363;5,6;21,7
3,363;5,6;21,7
3,376;5;21,7
3,376;5;21,7
3,376;5;21,7
3,389;4,4;21,8
3,389;4,4;21,8
3,389;4,4;21,8
3,402;3,9;21,9
3,402;3,9;21,9
3,402;3,9;21,9
3,415;3,5;21,9
3,415;3,5;21,9
3,415;3,5;21,9
3,428;3;22
3,428;3;22
3,428;3;22
3,441;2,6;22,1
3,441;2,6;22,1
3,441;2,6;22,1
3,454;2,3;22,1
3,454;2,3;22,1
3,454;2,3;22,1
3,466;2;22,2
3,466;2;22,2
3,466;2;22,2
3,48;1,7;22,3
3,48;1,7;22,3
3,48;1,7;22,3
3,493;1,4;22,3
3,493;1,4;22,3
3,493;1,4;22,3
3,506;1,2;22,4
3,506;1,2;22,4
3,506;1,2;22,4
3,52;1;22,4
3,52;1;22,4
3,52;1;22,4
3,533;0,8;22,5
3,533;0,8;22,5
3,533;0,8;22,5
3,545;0,6;22,6
3,545;0,6;22,6
3,545;0,6;22,6
3,559;0,4;22,6
3,559;0,4;22,6
3,559;0,4;22,6
3,572;0,3;22,7
3,572;0,3;22,7
3,572;0,3;22,7
3,584;0,2;22,8
3,584;0,2;22,8
3,584;0,2;22,8
3,598;0,1;22,8
3,598;0,1;22,8
3,598;0,1;22,8
3,611;0,1;22,9
3,611;0,1;22,9
3,611;0,1;22,9
3,623;0;23
3,623;0;23
3,623;0;23
3,636;0;23
3,636;0;23
3,636;0;23
3,65;0;23,1
3,65;0;23,1
3,65;0;23,1
3,663;-0,1;23,1
3,663;-0,1;23,1
3,663;-0,1;23,1
3,676;-0,1;23,2
3,676;-0,1;23,2
3,676;-0,1;23,2
3,69;-0,1;23,3
3,69;-0,1;23,3
3,69;-0,1;23,3
3,702;-0,1;23,3
3,702;-0,1;23,3
3,702;-0,1;23,3
3,715;-0,1;23,4
3,715;-0,1;23,4
3,715;-0,1;23,4
3,729;-0,1;23,5
3,729;-0,1;23,5
3,729;-0,1;23,5
3,742;-0,1;23,5
3,742;-0,1;23,5
3,742;-0,1;23,5
3,755;-0,1;23,6
3,755;-0,1;23,6
3,755;-0,1;23,6
3,768;-0,1;23,7
3,768;-0,1;23,7
3,768;-0,1;23,7
3,781;-0,1;23,7
3,781;-0,1;23,7
3,781;-0,1;23,7
3,795;-0,1;23,8
3,795;-0,1;23,8
3,795;-0,1;23,8
3,807;-0,1;23,9
3,807;-0,1;23,9
3,807;-0,1;23,9
3,821;-0,1;23,9
3,821;-0,1;23,9
3,821;-0,1;23,9
3,834;-0,1;24
3,834;-0,1;24
3,834;-0,1;24
3,847;-0,1;24,1
3,847;-0,1;24,1
3,847;-0,1;24,1
3,861;-0,1;24,1
3,861;-0,1;24,1
3,861;-0,1;24,1
3,873;-0,1;24,2
3,873;-0,1;24,2
3,873;-0,1;24,2
3,886;-0,1;24,2
3,886;-0,1;24,2
3,886;-0,1;24,2
3,9;-0,1;24,3
3,9;-0,1;24,3
3,9;-0,1;24,3
3,913;-0,1;24,4
3,913;-0,1;24,4
3,913;-0,1;24,4
3,926;-0,1;24,4
3,926;-0,1;24,4
3,926;-0,1;24,4
3,94;-0,1;24,5
3,94;-0,1;24,5
3,94;-0,1;24,5
3,953;-0,1;24,6
3,953;-0,1;24,6
3,953;-0,1;24,6
3,967;-0,1;24,6
3,967;-0,1;24,6
3,967;-0,1;24,6
3,981;0;24,6
3,981;0;24,6
3,981;0;24,6
3,993;0,1;24,6
3,993;0,1;24,6
3,993;0,1;24,6
4,005;0,3;24,6
4,005;0,3;24,6
4,005;0,3;24,6
4,018;0,4;24,6
4,018;0,4;24,6
4,018;0,4;24,6
4,031;0,5;24,6
4,031;0,5;24,6
4,031;0,5;24,6
4,043;0,7;24,6
4,043;0,7;24,6
4,043;0,7;24,6
4,055;0,8;24,6
4,055;0,8;24,6
4,055;0,8;24,6
4,069;0,9;24,6
4,069;0,9;24,6
4,069;0,9;24,6
4,082;1;24,6
4,082;1;24,6
4,082;1;24,6
4,094;1;24,6
4,094;1;24,6
4,094;1;24,6
4,106;1;24,6
4,106;1;24,6
4,106;1;24,6
4,119;1;24,6
4,119;1;24,6
4,119;1;24,6
4,132;1;24,6
4,132;1;24,6
4,132;1;24,6
4,144;1;24,6
4,144;1;24,6
4,144;1;24,6
4,157;1;24,6
4,157;1;24,6
4,157;1;24,6
4,169;1;24,6
4,169;1;24,6
4,169;1;24,6
4,182;1;24,6
4,182;1;24,6
4,182;1;24,6
4,195;0,9;24,6
4,195;0,9;24,6
4,195;0,9;24,6
4,207;0,8;24,6
4,207;0,8;24,6
4,207;0,8;24,6
4,22;0,6;24,6
4,22;0,6;24,6
4,22;0,6;24,6
4,232;0,5;24,6
4,232;0,5;24,6
4,232;0,5;24,6
4,246;0,4;24,6
4,246;0,4;24,6
4,246;0,4;24,6
4,258;0,2;24,6
4,258;0,2;24,6
4,258;0,2;24,6
4,27;0,1;24,6
4,27;0,1;24,6
4,27;0,1;24,6
4,283;0,1;24,6
4,283;0,1;24,6
4,283;0,1;24,6
4,296;0,1;24,6
4,296;0,1;24,6
4,296;0,1;24,6
4,308;0,1;24,6
4,308;0,1;24,6
4,308;0,1;24,6
4,32;0,1;24,6
4,32;0,1;24,6
4,32;0,1;24,6
4,333;0,1;24,6
4,333;0,1;24,6
4,333;0,1;24,6
4,346;0,1;24,6
4,346;0,1;24,6
4,346;0,1;24,6
4,359;0,1;24,6
4,359;0,1;24,6
4,359;0,1;24,6
4,372;0,1;24,6
4,372;0,1;24,6
4,372;0,1;24,6
4,384;0,1;24,6
4,384;0,1;24,6
4,384;0,1;24,6
4,396;0,1;24,6
4,396;0,1;24,6
4,396;0,1;24,6
4,41;0;24,6
4,41;0;24,6
4,41;0;24,6
4,422;0;24,6
4,422;0;24,6
4,422;0;24,6
4,434;0;24,6
4,434;0;24,6
4,434;0;24,6
4,446;0;24,6
4,446;0;24,6
4,446;0;24,6
4,459;0;24,6
4,459;0;24,6
4,459;0;24,6
4,472;0;24,6
4,472;0;24,6
4,472;0;24,6
4,484;0;24,6
4,484;0;24,6
4,484;0;24,6
4,498;0;24,6
4,498;0;24,6
4,498;0;24,6
4,51;0;24,6
4,51;0;24,6
4,51;0;24,6
4,522;0;24,6
4,522;0;24,6
4,522;0;24,6
4,534;0;24,6
4,534;0;24,6
4,534;0;24,6
4,548;0;24,6
4,548;0;24,6
4,548;0;24,6
4,56;0;24,6
4,56;0;24,6
4,56;0;24,6
4,572;0;24,6
4,572;0;24,6
4,572;0;24,6
4,585;0;24,6
4,585;0;24,6
4,585;0;24,6
4,597;0;24,6
4,597;0;24,6
4,597;0;24,6
4,61;0;24,6
4,61;0;24,6
4,61;0;24,6
4,623;0;24,6
4,623;0;24,6
4,623;0;24,6
4,636;0;24,6
4,636;0;24,6
4,636;0;24,6
4,648;0;24,6
4,648;0;24,6
4,648;0;24,6
4,66;0;24,6
4,66;0;24,6
4,66;0;24,6
4,673;0;24,6
4,673;0;24,6
4,673;0;24,6
4,686;0;24,6
4,686;0;24,6
4,686;0;24,6
4,698;0;24,6
4,698;0;24,6
4,698;0;24,6
4,711;0;24,6
4,711;0;24,6
4,711;0;24,6
4,723;0;24,6
4,723;0;24,6
4,723;0;24,6
4,736;0;24,6
4,736;0;24,6
4,736;0;24,6
4,749;0;24,6
4,749;0;24,6
4,749;0;24,6
4,761;0;24,6
4,761;0;24,6
4,761;0;24,6
4,774;0;24,6
4,774;0;24,6
4,774;0;24,6
4,786;0;24,6
4,786;0;24,6
4,786;0;24,6
4,799;0;24,6
4,799;0;24,6
4,799;0;24,6
4,811;0;24,6
4,811;0;24,6
4,811;0;24,6
4,824;0;24,6
4,824;0;24,6
4,824;0;24,6
4,837;0;24,6
4,837;0;24,6
4,837;0;24,6
4,849;0;24,6
4,849;0;24,6
4,849;0;24,6
4,861;0;24,6
4,861;0;24,6
4,861;0;24,6
4,873;0;24,6
4,873;0;24,6
4,873;0;24,6
4,887;0;24,6
4,887;0;24,6
4,887;0;24,6
4,899;0;24,6
4,899;0;24,6
4,899;0;24,6
4,912;0;24,6
4,912;0;24,6
4,912;0;24,6
4,925;0;24,6
4,925;0;24,6
4,925;0;24,6
4,937;0;24,6
4,937;0;24,6
4,937;0;24,6
4,949;0;24,6
4,949;0;24,6
4,949;0;24,6
4,962;0;24,6
4,962;0;24,6
4,962;0;24,6
4,975;0;24,6
4,975;0;24,6
4,975;0;24,6
4,987;0;24,6
4,987;0;24,6
4,987;0;24,6
4,999;0;24,6
4,999;0;24,6
4,999;0;24,6
5,012;0;24,6
5,012;0;24,6
5,012;0;24,6
5,025;0;24,6
5,025;0;24,6
5,025;0;24,6
5,037;0;24,6
5,037;0;24,6
5,037;0;24,6
5,051;0;24,6
5,051;0;24,6
5,051;0;24,6
5,063;0;24,6
5,063;0;24,6
5,063;0;24,6
5,075;0;24,6
5,075;0;24,6
5,075;0;24,6
5,087;0;24,6
5,087;0;24,6
5,087;0;24,6
5,1;0;24,6
5,1;0;24,6
5,1;0;24,6
5,113;0;24,6
5,113;0;24,6
5,113;0;24,6
5,125;0;24,6
5,125;0;24,6
5,125;0;24,6
5,138;0;24,6
5,138;0;24,6
5,138;0;24,6
5,15;0;24,6
5,15;0;24,6
5,15;0;24,6
5,163;0;24,6
5,163;0;24,6
5,163;0;24,6
5,176;0;24,6
5,176;0;24,6
5,176;0;24,6
5,188;0;24,6
5,188;0;24,6
5,188;0;24,6
5,201;0;24,6
5,201;0;24,6
5,201;0;24,6
5,213;0;24,6
5,213;0;24,6
5,213;0;24,6
5,226;0;24,6
5,226;0;24,6
5,226;0;24,6
5,238;0;24,6
5,238;0;24,6
5,238;0;24,6
5,251;0;24,6
5,251;0;24,6
5,251;0;24,6
5,264;0;24,6
5,264;0;24,6
5,264;0;24,6
5,276;0;24,6
5,276;0;24,6
5,276;0;24,6
5,288;0;24,6
5,288;0;24,6
5,288;0;24,6
5,3;0;24,6
5,3;0;24,6
