Tempo (s);Carga (g);Posicao (mm)
3,664;4,9;23,5
3,678;4,4;23,5
3,678;4,4;23,5
3,678;4,4;23,5
3,691;3,9;23,6
3,691;3,9;23,6
3,691;3,9;23,6
3,705;3,4;23,7
3,705;3,4;23,7
3,705;3,4;23,7
3,718;2,9;23,7
3,718;2,9;23,7
3,718;2,9;23,7
3,731;2,5;23,8
3,731;2,5;23,8
3,731;2,5;23,8
3,744;2,2;23,8
3,744;2,2;23,8
3,744;2,2;23,8
3,758;1,8;23,9
3,758;1,8;23,9
3,758;1,8;23,9
3,771;1,6;24
3,771;1,6;24
3,771;1,6;24
3,784;1,3;24
3,784;1,3;24
3,784;1,3;24
3,796;1,2;24,1
3,796;1,2;24,1
3,796;1,2;24,1
3,81;1;24,2
3,81;1;24,2
3,81;1;24,2
3,823;0,8;24,2
3,823;0,8;24,2
3,823;0,8;24,2
3,836;0,7;24,3
3,836;0,7;24,3
3,836;0,7;24,3
3,851;0,6;24,4
3,851;0,6;24,4
3,851;0,6;24,4
3,863;0,5;24,4
3,863;0,5;24,4
3,863;0,5;24,4
3,876;0,4;24,5
3,876;0,4;24,5
3,876;0,4;24,5
3,89;0,3;24,6
3,89;0,3;24,6
3,89;0,3;24,6
3,903;0,3;24,6
3,903;0,3;24,6
3,903;0,3;24,6
3,916;0,3;24,7
3,916;0,3;24,7
3,916;0,3;24,7
3,93;0,3;24,8
3,93;0,3;24,8
3,93;0,3;24,8
3,942;0,3;24,8
3,942;0,3;24,8
3,942;0,3;24,8
3,955;0,3;24,9
3,955;0,3;24,9
3,955;0,3;24,9
3,968;0,3;25
3,968;0,3;25
3,968;0,3;25
3,982;0,3;25
3,982;0,3;25
3,982;0,3;25
3,996;0,2;25,1
3,996;0,2;25,1
3,996;0,2;25,1
4,008;0,2;25,2
4,008;0,2;25,2
4,008;0,2;25,2
4,022;0,1;25,2
4,022;0,1;25,2
4,022;0,1;25,2
4,035;0,1;25,3
4,035;0,1;25,3
4,035;0,1;25,3
4,048;0,1;25,4
4,048;0,1;25,4
4,048;0,1;25,4
4,062;0;25,4
4,062;0;25,4
4,062;0;25,4
4,074;0;25,5
4,074;0;25,5
4,074;0;25,5
4,087;0;25,6
4,087;0;25,6
4,087;0;25,6
4,101;0;25,6
4,101;0;25,6
4,101;0;25,6
4,114;0;25,7
4,114;0;25,7
4,114;0;25,7
4,127;-0,1;25,8
4,127;-0,1;25,8
4,127;-0,1;25,8
4,141;-0,1;25,8
4,141;-0,1;25,8
4,141;-0,1;25,8
4,154;-0,1;25,9
4,154;-0,1;25,9
4,154;-0,1;25,9
4,167;-0,1;25,9
4,167;-0,1;25,9
