Tempo (s);Carga (g);Posicao (mm)
2,217;843,1;16
2,23;823,4;16
2,23;823,4;16
2,23;823,4;16
2,244;801,3;16,1
2,244;801,3;16,1
2,244;801,3;16,1
2,257;776,9;16,2
2,257;776,9;16,2
2,257;776,9;16,2
2,269;750,2;16,2
2,269;750,2;16,2
2,269;750,2;16,2
2,283;722;16,3
2,283;722;16,3
2,283;722;16,3
2,296;692,9;16,4
2,296;692,9;16,4
2,296;692,9;16,4
2,309;663,3;16,4
2,309;663,3;16,4
2,309;663,3;16,4
2,323;633,9;16,5
2,323;633,9;16,5
2,323;633,9;16,5
2,336;604,8;16,6
2,336;604,8;16,6
2,336;604,8;16,6
2,349;576,7;16,6
2,349;576,7;16,6
2,349;576,7;16,6
2,363;549,9;16,7
2,363;549,9;16,7
2,363;549,9;16,7
2,376;524,9;16,8
2,376;524,9;16,8
2,376;524,9;16,8
2,389;501,5;16,8
2,389;501,5;16,8
2,389;501,5;16,8
2,401;479,4;16,9
2,401;479,4;16,9
2,401;479,4;16,9
2,415;458,6;17
2,415;458,6;17
2,415;458,6;17
2,428;438,9;17
2,428;438,9;17
2,428;438,9;17
2,441;420,3;17,1
2,441;420,3;17,1
2,441;420,3;17,1
2,455;402,8;17,2
2,455;402,8;17,2
2,455;402,8;17,2
2,468;386,2;17,2
2,468;386,2;17,2
2,468;386,2;17,2
2,48;370,5;17,3
2,48;370,5;17,3
2,48;370,5;17,3
2,495;355,5;17,4
2,495;355,5;17,4
2,495;355,5;17,4
2,508;341,3;17,4
2,508;341,3;17,4
2,508;341,3;17,4
2,521;327,6;17,5
2,521;327,6;17,5
2,521;327,6;17,5
2,534;314,7;17,6
2,534;314,7;17,6
2,534;314,7;17,6
2,547;302,3;17,6
2,547;302,3;17,6
2,547;302,3;17,6
2,56;290,5;17,7
2,56;290,5;17,7
2,56;290,5;17,7
2,574;279,2;17,7
2,574;279,2;17,7
2,574;279,2;17,7
2,587;268,4;17,8
2,587;268,4;17,8
2,587;268,4;17,8
2,6;258;17,9
2,6;258;17,9
2,6;258;17,9
2,612;248,2;17,9
2,612;248,2;17,9
2,612;248,2;17,9
2,626;238,7;18
2,626;238,7;18
2,626;238,7;18
2,64;229,7;18,1
2,64;229,7;18,1
2,64;229,7;18,1
2,653;221;18,1
2,653;221;18,1
2,653;221;18,1
2,667;212,7;18,2
2,667;212,7;18,2
2,667;212,7;18,2
2,679;204,6;18,3
2,679;204,6;18,3
2,679;204,6;18,3
2,692;196,9;18,3
2,692;196,9;18,3
2,692;196,9;18,3
2,706;189,5;18,4
2,706;189,5;18,4
2,706;189,5;18,4
2,719;182,3;18,5
2,719;182,3;18,5
2,719;182,3;18,5
2,732;175,4;18,5
2,732;175,4;18,5
2,732;175,4;18,5
2,746;168,7;18,6
2,746;168,7;18,6
2,746;168,7;18,6
2,758;162,3;18,7
2,758;162,3;18,7
2,758;162,3;18,7
2,771;156,1;18,7
2,771;156,1;18,7
2,771;156,1;18,7
2,785;150,1;18,8
2,785;150,1;18,8
2,785;150,1;18,8
2,799;144,3;18,9
2,799;144,3;18,9
2,799;144,3;18,9
2,811;138,7;18,9
2,811;138,7;18,9
2,811;138,7;18,9
2,824;133,2;19
2,824;133,2;19
2,824;133,2;19
2,838;127,9;19
2,838;127,9;19
2,838;127,9;19
2,851;122,8;19,1
2,851;122,8;19,1
2,851;122,8;19,1
2,864;117,8;19,2
2,864;117,8;19,2
2,864;117,8;19,2
2,878;113;19,2
2,878;113;19,2
2,878;113;19,2
2,89;108,4;19,3
2,89;108,4;19,3
2,89;108,4;19,3
2,903;103,9;19,4
2,903;103,9;19,4
2,903;103,9;19,4
2,917;99,6;19,4
2,917;99,6;19,4
2,917;99,6;19,4
2,931;95,4;19,5
2,931;95,4;19,5
2,931;95,4;19,5
2,943;91,3;19,6
2,943;91,3;19,6
2,943;91,3;19,6
2,956;87,4;19,6
2,956;87,4;19,6
2,956;87,4;19,6
2,97;83,6;19,7
2,97;83,6;19,7
2,97;83,6;19,7
2,983;79,9;19,8
2,983;79,9;19,8
2,983;79,9;19,8
2,996;76,3;19,8
2,996;76,3;19,8
2,996;76,3;19,8
3,01;72,8;19,9
3,01;72,8;19,9
3,01;72,8;19,9
3,022;69,4;20
3,022;69,4;20
3,022;69,4;20
3,035;66,2;20
3,035;66,2;20
3,035;66,2;20
3,049;63,1;20,1
3,049;63,1;20,1
3,049;63,1;20,1
3,062;60;20,2
3,062;60;20,2
3,062;60;20,2
3,075;57,1;20,2
3,075;57,1;20,2
3,075;57,1;20,2
3,089;54,3;20,3
3,089;54,3;20,3
3,089;54,3;20,3
3,102;51,6;20,3
3,102;51,6;20,3
3,102;51,6;20,3
3,115;49;20,4
3,115;49;20,4
3,115;49;20,4
3,127;46,4;20,5
3,127;46,4;20,5
3,127;46,4;20,5
3,141;44;20,5
3,141;44;20,5
3,141;44;20,5
3,154;41,6;20,6
3,154;41,6;20,6
3,154;41,6;20,6
3,167;39,3;20,7
3,167;39,3;20,7
3,167;39,3;20,7
3,181;37,1;20,7
3,181;37,1;20,7
3,181;37,1;20,7
3,193;35;20,8
3,193;35;20,8
3,193;35;20,8
3,206;33;20,9
3,206;33;20,9
3,206;33;20,9
3,221;31,1;20,9
3,221;31,1;20,9
3,221;31,1;20,9
3,234;29,2;21
3,234;29,2;21
3,234;29,2;21
3,246;27,4;21,1
3,246;27,4;21,1
3,246;27,4;21,1
3,26;25,6;21,1
3,26;25,6;21,1
3,26;25,6;21,1
3,273;24;21,2
3,273;24;21,2
3,273;24;21,2
3,286;22,3;21,3
3,286;22,3;21,3
3,286;22,3;21,3
3,3;20,8;21,3
3,3;20,8;21,3
3,3;20,8;21,3
3,312;19,3;21,4
3,312;19,3;21,4
3,312;19,3;21,4
3,325;17,9;21,5
3,325;17,9;21,5
3,325;17,9;21,5
3,338;16,5;21,5
3,338;16,5;21,5
3,338;16,5;21,5
3,352;15,2;21,6
3,352;15,2;21,6
3,352;15,2;21,6
3,365;14;21,7
3,365;14;21,7
3,365;14;21,7
3,378;12,9;21,7
3,378;12,9;21,7
3,378;12,9;21,7
3,392;11,8;21,8
3,392;11,8;21,8
3,392;11,8;21,8
3,405;10,7;21,9
3,405;10,7;21,9
3,405;10,7;21,9
3,418;9,7;21,9
3,418;9,7;21,9
3,418;9,7;21,9
3,431;8,8;22
3,431;8,8;22
3,431;8,8;22
3,444;8;22,1
3,444;8;22,1
3,444;8;22,1
3,457;7,2;22,1
3,457;7,2;22,1
3,457;7,2;22,1
3,47;6,5;22,2
3,47;6,5;22,2
3,47;6,5;22,2
3,483;5,8;22,2
3,483;5,8;22,2
3,483;5,8;22,2
3,496;5,2;22,3
3,496;5,2;22,3
3,496;5,2;22,3
3,509;4,6;22,4
3,509;4,6;22,4
3,509;4,6;22,4
3,523;4,1;22,4
3,523;4,1;22,4
3,523;4,1;22,4
3,536;3,6;22,5
3,536;3,6;22,5
3,536;3,6;22,5
3,548;3,1;22,6
3,548;3,1;22,6
3,548;3,1;22,6
3,562;2,8;22,6
3,562;2,8;22,6
3,562;2,8;22,6
3,575;2,4;22,7
3,575;2,4;22,7
3,575;2,4;22,7
3,587;2,1;22,8
3,587;2,1;22,8
3,587;2,1;22,8
3,601;1,8;22,8
3,601;1,8;22,8
3,601;1,8;22,8
3,614;1,5;22,9
3,614;1,5;22,9
3,614;1,5;22,9
3,626;1,3;23
3,626;1,3;23
3,626;1,3;23
3,639;1,1;23
3,639;1,1;23
3,639;1,1;23
3,654;0,9;23,1
3,654;0,9;23,1
3,654;0,9;23,1
3,666;0,8;23,1
3,666;0,8;23,1
3,666;0,8;23,1
3,679;0,6;23,2
3,679;0,6;23,2
3,679;0,6;23,2
3,693;0,5;23,3
3,693;0,5;23,3
3,693;0,5;23,3
3,705;0,5;23,3
3,705;0,5;23,3
3,705;0,5;23,3
3,718;0,4;23,4
3,718;0,4;23,4
3,718;0,4;23,4
3,732;0,3;23,5
3,732;0,3;23,5
3,732;0,3;23,5
3,744;0,3;23,5
3,744;0,3;23,5
3,744;0,3;23,5
3,757;0,3;23,6
3,757;0,3;23,6
3,757;0,3;23,6
3,771;0,2;23,7
3,771;0,2;23,7
3,771;0,2;23,7
3,783;0,2;23,7
3,783;0,2;23,7
3,783;0,2;23,7
3,797;0,2;23,8
3,797;0,2;23,8
3,797;0,2;23,8
3,811;0,2;23,9
3,811;0,2;23,9
3,811;0,2;23,9
3,823;0,1;23,9
3,823;0,1;23,9
3,823;0,1;23,9
3,836;0,1;24
3,836;0,1;24
3,836;0,1;24
3,849;0,1;24
3,849;0,1;24
3,849;0,1;24
3,862;0,1;24,1
3,862;0,1;24,1
3,862;0,1;24,1
3,875;0,1;24,2
3,875;0,1;24,2
3,875;0,1;24,2
3,888;0,1;24,2
3,888;0,1;24,2
3,888;0,1;24,2
3,901;0,1;24,3
3,901;0,1;24,3
3,901;0,1;24,3
3,914;0,1;24,4
3,914;0,1;24,4
3,914;0,1;24,4
3,927;0;24,4
3,927;0;24,4
3,927;0;24,4
3,941;0;24,5
3,941;0;24,5
3,941;0;24,5
3,954;0;24,6
3,954;0;24,6
3,954;0;24,6
3,966;-0,1;24,6
3,966;-0,1;24,6
3,966;-0,1;24,6
3,979;-0,1;24,7
3,979;-0,1;24,7
3,979;-0,1;24,7
3,993;-0,1;24,8
3,993;-0,1;24,8
3,993;-0,1;24,8
4,006;-0,1;24,8
4,006;-0,1;24,8
4,006;-0,1;24,8
4,019;-0,2;24,9
4,019;-0,2;24,9
4,019;-0,2;24,9
4,032;-0,2;24,9
4,032;-0,2;24,9
4,032;-0,2;24,9
4,045;-0,2;25
4,045;-0,2;25
4,045;-0,2;25
4,058;-0,2;25,1
4,058;-0,2;25,1
4,058;-0,2;25,1
4,072;-0,2;25,1
4,072;-0,2;25,1
4,072;-0,2;25,1
4,085;-0,2;25,2
4,085;-0,2;25,2
4,085;-0,2;25,2
4,098;-0,2;25,3
4,098;-0,2;25,3
4,098;-0,2;25,3
4,112;-0,2;25,3
4,112;-0,2;25,3
4,112;-0,2;25,3
4,125;-0,3;25,4
4,125;-0,3;25,4
4,125;-0,3;25,4
4,137;-0,3;25,5
4,137;-0,3;25,5
4,137;-0,3;25,5
4,153;-0,3;25,5
4,153;-0,3;25,5
4,153;-0,3;25,5
4,165;-0,3;25,5
4,165;-0,3;25,5
4,165;-0,3;25,5
4,177;-0,1;25,5
4,177;-0,1;25,5
4,177;-0,1;25,5
4,19;0;25,5
4,19;0;25,5
4,19;0;25,5
4,203;0,1;25,5
4,203;0,1;25,5
4,203;0,1;25,5
4,215;0,3;25,5
4,215;0,3;25,5
4,215;0,3;25,5
4,228;0,4;25,5
4,228;0,4;25,5
4,228;0,4;25,5
4,241;0,6;25,5
4,241;0,6;25,5
4,241;0,6;25,5
4,254;0,7;25,5
4,254;0,7;25,5
4,254;0,7;25,5
4,266;0,8;25,5
4,266;0,8;25,5
4,266;0,8;25,5
4,278;0,8;25,5
4,278;0,8;25,5
4,278;0,8;25,5
4,292;0,8;25,5
4,292;0,8;25,5
4,292;0,8;25,5
4,304;0,9;25,5
4,304;0,9;25,5
4,304;0,9;25,5
4,316;0,9;25,5
4,316;0,9;25,5
4,316;0,9;25,5
4,329;0,9;25,5
4,329;0,9;25,5
4,329;0,9;25,5
4,342;0,9;25,5
4,342;0,9;25,5
4,342;0,9;25,5
4,354;0,9;25,5
4,354;0,9;25,5
4,354;0,9;25,5
4,368;0,9;25,5
4,368;0,9;25,5
4,368;0,9;25,5
4,38;0,8;25,5
4,38;0,8;25,5
4,38;0,8;25,5
4,392;0,7;25,5
4,392;0,7;25,5
4,392;0,7;25,5
4,405;0,5;25,5
4,405;0,5;25,5
4,405;0,5;25,5
4,418;0,4;25,5
4,418;0,4;25,5
4,418;0,4;25,5
4,43;0,3;25,5
4,43;0,3;25,5
4,43;0,3;25,5
4,442;0,2;25,5
4,442;0,2;25,5
4,442;0,2;25,5
4,456;0,1;25,5
4,456;0,1;25,5
4,456;0,1;25,5
4,468;0;25,5
4,468;0;25,5
4,468;0;25,5
4,48;0;25,5
4,48;0;25,5
4,48;0;25,5
4,492;0;25,5
4,492;0;25,5
4,492;0;25,5
4,506;0;25,5
4,506;0;25,5
4,506;0;25,5
4,518;0;25,5
4,518;0;25,5
4,518;0;25,5
4,531;0;25,5
4,531;0;25,5
4,531;0;25,5
4,544;0;25,5
4,544;0;25,5
4,544;0;25,5
4,556;0;25,5
4,556;0;25,5
4,556;0;25,5
4,568;0;25,5
4,568;0;25,5
4,568;0;25,5
4,582;0;25,5
4,582;0;25,5
4,582;0;25,5
4,594;0;25,5
4,594;0;25,5
4,594;0;25,5
4,606;0;25,5
